City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,progreso,21.2833,-89.6667,81.1,75,66,9.69,MX,1668983373
198,adrar,20.5022,-10.0711,70.84,16,0,10.71,MR,1668983555
199,kruisfontein,-34.0033,24.7314,53.89,82,33,3.76,ZA,1668983555
200,sidvokodvo,-26.6282,31.4202,61.97,77,49,1.03,SZ,1668983556
201,eureka,40.8021,-124.1637,61.2,74,74,1.99,US,1668983557
202,la palma,33.8464,-118.0467,80.87,19,20,8.05,US,1668983554
203,esperance,-33.8667,121.9,56.44,58,82,6.89,AU,1668983322
204,bethel,41.3712,-73.414,32.09,41,0,11.5,US,1668983558
205,leningradskiy,69.3833,178.4167,-24.47,96,15,5.97,RU,1668983558
206,la grande,45.3246,-118.0877,42.57,43,96,5.75,US,1668983559
207,hambantota,6.1241,81.1185,74.55,87,1,6.58,LK,1668983559
208,najran,17.4924,44.1277,65.05,60,14,1.39,SA,1668983560
209,balad,34.0164,44.1453,61.23,48,0,10.8,IQ,1668983561
210,sibolga,1.7427,98.7792,74.35,90,100,2.75,ID,1668983561
211,los llanos de aridane,28.6585,-17.9182,65.95,82,100,14.97,ES,1668983562
212,kalmunai,7.4167,81.8167,72.28,87,5,8.01,LK,1668983562
213,huanuco,-9.9329,-76.2415,70.21,77,100,7.11,PE,1668983563
214,kurilsk,45.2333,147.8833,44.2,77,100,23.29,RU,1668983564
215,vocklabruck,48.0167,13.65,40.46,100,98,5.17,AT,1668983564
216,fuerte olimpo,-21.0415,-57.8738,93.87,26,46,3.94,PY,1668983400
217,gladstone,-23.85,151.25,83.79,74,100,8.05,AU,1668983565
218,jiazi,22.8779,116.067,70.79,85,73,17.29,CN,1668983566
219,inta,66.0317,60.1659,31.21,98,100,15.35,RU,1668983566
220,yepifan,53.8253,38.5518,20.43,98,100,5.37,RU,1668983567
221,itarema,-2.9248,-39.9167,79.5,78,47,15.75,BR,1668983463
222,plavsk,53.7094,37.2919,20.48,96,100,5.88,RU,1668983568
223,carthage,36.8611,10.3316,58.53,55,40,13.8,TN,1668983385
224,aswan,24.0934,32.907,70.9,46,0,5.75,EG,1668983569
